date,USA,UK,China,Japan,Canada
1960,543300000000.00,72328047042.00,59716467625.00,44307342950.00,41093453545.00
1961,563300000000.00,76694360636.00,50056868958.00,53508617739.00,40767969454.00
1962,605100000000.00,80601939635.00,47209359006.00,60723018684.00,41978852041.00
1963,638600000000.00,85443766670.00,50706799903.00,69498131797.00,44657169109.00
1964,685800000000.00,93387598814.00,59708343489.00,81749006382.00,48882938810.00
1965,743700000000.00,100596000000.00,70436266147.00,90950278258.00,53909570342.00
1966,815000000000.00,107091000000.00,76720285970.00,105628000000.00,60358632035.00
1967,861700000000.00,111185000000.00,72881631327.00,123782000000.00,64768831262.00
1968,942500000000.00,104703000000.00,70846535056.00,146601000000.00,70759031842.00
1969,1019900000000.00,112677000000.00,79705906247.00,172204000000.00,77887510242.00
1970,1075880000000.00,130672000000.00,92602973434.00,211514000000.00,87896095224.00
1971,1167770000000.00,148114000000.00,99800958648.00,238915000000.00,99271961478.00
1972,1282450000000.00,169965000000.00,113688000000.00,316393000000.00,113083000000.00
1973,1428550000000.00,192538000000.00,138544000000.00,429857000000.00,131322000000.00
1974,1548830000000.00,206131000000.00,144182000000.00,477156000000.00,160409000000.00
1975,1688920000000.00,241757000000.00,163432000000.00,518856000000.00,173834000000.00
1976,1877590000000.00,232615000000.00,153940000000.00,583143000000.00,206576000000.00
1977,2085950000000.00,263066000000.00,174938000000.00,717696000000.00,211612000000.00
1978,2356570000000.00,335883000000.00,149541000000.00,1008390000000.00,218633000000.00
1979,2632140000000.00,438994000000.00,178281000000.00,1049580000000.00,243072000000.00
1980,2862510000000.00,564948000000.00,191149000000.00,1099690000000.00,273854000000.00
1981,3210960000000.00,540766000000.00,195866000000.00,1215510000000.00,306215000000.00
1982,3344990000000.00,515049000000.00,205090000000.00,1129890000000.00,313507000000.00
1983,3638140000000.00,489618000000.00,230687000000.00,1232340000000.00,340548000000.00
1984,4040690000000.00,461487000000.00,259947000000.00,1309740000000.00,355373000000.00
1985,4346730000000.00,489285000000.00,309488000000.00,1400710000000.00,364756000000.00
1986,4590160000000.00,601453000000.00,300758000000.00,2075030000000.00,377438000000.00
1987,4870220000000.00,745163000000.00,272973000000.00,2514280000000.00,431317000000.00
1988,5252630000000.00,910123000000.00,312354000000.00,3050640000000.00,507354000000.00
1989,5657690000000.00,926885000000.00,347768000000.00,3052320000000.00,565056000000.00
1990,5979590000000.00,1093170000000.00,360858000000.00,3139970000000.00,593930000000.00
1991,6174040000000.00,1142800000000.00,383373000000.00,3578140000000.00,610328000000.00
1992,6539300000000.00,1179660000000.00,426916000000.00,3897830000000.00,592388000000.00
1993,6878720000000.00,1061390000000.00,444731000000.00,4466570000000.00,577171000000.00
1994,7308760000000.00,1140490000000.00,564325000000.00,4907040000000.00,578139000000.00
1995,7664060000000.00,1335220000000.00,734548000000.00,5449120000000.00,604032000000.00
1996,8100200000000.00,1408780000000.00,863747000000.00,4833710000000.00,628546000000.00
1997,8608520000000.00,1552480000000.00,961604000000.00,4414730000000.00,652825000000.00
1998,9089170000000.00,1638510000000.00,1029040000000.00,4032510000000.00,631813000000.00
1999,9660620000000.00,1665620000000.00,1094000000000.00,4562080000000.00,676083000000.00
2000,10284800000000.00,1647950000000.00,1211350000000.00,4887520000000.00,742293000000.00
2001,10621800000000.00,1621510000000.00,1339400000000.00,4303540000000.00,736380000000.00
2002,10977500000000.00,1768410000000.00,1470550000000.00,4115120000000.00,757951000000.00
2003,11510700000000.00,2038400000000.00,1660290000000.00,4445660000000.00,892381000000.00
2004,12274900000000.00,2398560000000.00,1955350000000.00,4815150000000.00,1023200000000.00
2005,13093700000000.00,2520700000000.00,2285970000000.00,4755410000000.00,1169360000000.00
2006,13855900000000.00,2692610000000.00,2752130000000.00,4530380000000.00,1315420000000.00
2007,14477600000000.00,3074360000000.00,3552180000000.00,4515260000000.00,1464980000000.00
2008,14718600000000.00,2890560000000.00,4598210000000.00,5037910000000.00,1549130000000.00
2009,14418700000000.00,2382830000000.00,5109950000000.00,5231380000000.00,1371150000000.00
2010,14964400000000.00,2441170000000.00,6100620000000.00,5700100000000.00,1613460000000.00
2011,15517900000000.00,2619700000000.00,7572550000000.00,6157460000000.00,1788650000000.00
2012,16155300000000.00,2662090000000.00,8560550000000.00,6203210000000.00,1824290000000.00
2013,16691500000000.00,2739820000000.00,9607220000000.00,5155720000000.00,1842630000000.00
2014,17393100000000.00,3022830000000.00,10482400000000.00,4848730000000.00,1792880000000.00
2015,18120700000000.00,2885570000000.00,11064700000000.00,4383080000000.00,1552810000000.00
2016,18624500000000.00,2647900000000.00,11199100000000.00,4940160000000.00,1529760000000.00